uid,formula,reduced_formula,gap_pbe_2d,gap_hse_2d,ehull,dyn_stab,gap_pbe_bulk_mean,gap_pbe_bulk_min,gap_pbe_bulk_max,gap_hse_bulk_mean,n_bulk_matches,material_ids,delta_gap_pbe,delta_gap_hse
1AgCrP2S6-1,Cr1 Ag1 P2 S6,CrAg(PS3)2,1.009853264090903,2.0120057332509953,0.008316508723440563,Yes,0.9260000000000002,0.9260000000000002,0.9260000000000002,2.246493,1,mp-557592,0.08385326409090288,-0.23448726674900477
2AgCrP2S6-1,Cr2 Ag2 P4 S12,CrAg(PS3)2,0.9970750904765358,2.715331098741717,0.0,Yes,0.9260000000000002,0.9260000000000002,0.9260000000000002,2.246493,1,mp-557592,0.0710750904765356,0.4688380987417169
1AgGaP2Se6-1,Ga1 Ag1 P2 Se6,GaAg(PSe3)2,0.9098135444974016,1.6935745501713457,0.0012600539809008993,Yes,1.08175,0.6647999999999996,1.4987000000000001,1.326466,2,mp-654129|mp-7008,-0.1719364555025984,0.3671085501713458
1AgScP2Se6-1,Sc1 Ag1 P2 Se6,ScAg(PSe3)2,1.6339637031428778,2.7754717110836995,0.0,Yes,1.6451,1.6451,1.6451,2.57941,1,mp-13383,-0.011136296857122252,0.1960617110836993
4AsLiS2-1,Li4 As4 S8,LiAsS2,1.2504697042311885,1.8733839578027418,0.018158329043929666,Yes,1.0664000000000002,1.0664000000000002,1.0664000000000002,2.1020440000000002,1,mp-555874,0.1840697042311883,-0.22866004219725844
4AsLiS2-2,Li4 As4 S8,LiAsS2,1.2537498717246565,1.8825641176269554,0.019523303366874356,Yes,1.0664000000000002,1.0664000000000002,1.0664000000000002,2.1020440000000002,1,mp-555874,0.18734987172465623,-0.21947988237304483
1OVBr2-1,V1 Br2 O1,VBr2O,0.7695812656720582,3.019085807490825,0.0,Yes,,,,0.949158,1,mp-32450,,2.069927807490825
2BrCuTe2-1,Cu2 Te4 Br2,CuTe2Br,0.8727809729858376,2.2990977805411936,0.01197177271227412,Yes,0.7393000000000001,0.7393000000000001,0.7393000000000001,1.556149,1,mp-31036,0.1334809729858375,0.7429487805411936
4AsNaO2-2,Na4 As4 O8,NaAsO2,4.333075900687465,5.612714802451468,0.0002311434729449502,Yes,3.6826,3.6341,3.7311,4.8345655,2,mp-556145|mp-3468,0.6504759006874652,0.7781493024514683
4AsNaO2-1,Na4 As4 O8,NaAsO2,4.359538407596785,5.635495958121257,0.0,Yes,3.6826,3.6341,3.7311,4.8345655,2,mp-556145|mp-3468,0.6769384075967855,0.8009304581212566
4LiSbO2-1,Li4 Sb4 O8,LiSbO2,3.248130110070308,4.431806733853256,0.0,Yes,2.0381,2.0381,2.0381,2.9014100000000003,1,mp-755703,1.2100301100703081,1.530396733853256
4LiSbO2-2,Li4 Sb4 O8,LiSbO2,3.2966808970047214,4.4696488437103215,0.0031856742320321985,Yes,2.0381,2.0381,2.0381,2.9014100000000003,1,mp-755703,1.2585808970047214,1.5682388437103212
2INbO2-1,Nb2 I2 O4,NbIO2,1.1880844616578965,2.29497312387122,0.0,Yes,1.0522,1.0522,1.0522,1.8817320000000002,1,mp-557685,0.13588446165789647,0.4132411238712199
4LiSbS2-2,Li4 Sb4 S8,LiSbS2,1.706600816736903,2.5345441098079795,0.017296467335554233,Yes,0.39476666666666677,0.0,1.1843000000000004,0.0,3,mp-34121|mp-14591|mp-756784,1.3118341500702362,2.5345441098079795
4LiSbS2-1,Li4 Sb4 S8,LiSbS2,1.8547375431718325,2.746226472615874,0.011068777579917644,Yes,0.39476666666666677,0.0,1.1843000000000004,0.0,3,mp-34121|mp-14591|mp-756784,1.4599708765051658,2.746226472615874
4KSbO2-1,K4 Sb4 O8,KSbO2,3.5691601779043043,4.853458747735943,0.001454702811809483,Yes,2.0081999999999995,2.0081999999999995,2.0081999999999995,3.5677119999999998,1,mp-10417,1.5609601779043047,1.2857467477359434
2AuITe2-1,Te4 Au2 I2,Te2AuI,0.710996156240628,1.3508191508441465,0.06361720572957051,Yes,0.0,0.0,0.0,0.0,1,mp-27527,0.710996156240628,1.3508191508441465
2CNNaS-1,Na2 C2 S2 N2,NaCSN,4.120610116565436,5.136968561316429,0.10160772714642863,Yes,4.10635,4.0366,4.1761,5.0162070000000005,2,mp-6633|mp-556012,0.014260116565435688,0.12076156131642879
2CKNS-1,K2 C2 S2 N2,KCSN,4.187765283568392,5.187544404701348,0.0658803848794296,Yes,4.076033333333333,3.8733,4.2439,5.240511,3,mp-975336|mp-6511|mp-601401,0.11173195023505844,-0.052966595298651775
1ZrH2P2O6-1,Zr1 P2 H2 O6,ZrP2(HO3)2,4.2804850310600795,6.395484663595209,0.0,Yes,4.1126,4.1126,4.1126,5.876344,1,mp-24030,0.1678850310600799,0.5191406635952092
1SBi2Te2-1,Bi2 Te2 S1,Bi2Te2S,0.1580506163183651,0.5843565656096961,0.0029916665157784907,Yes,0.24134999999999995,0.04590000000000005,0.43679999999999986,0.9879720000000001,2,mp-632485|mp-27910,-0.08329938368163486,-0.403615434390304
2NbBr2Se2-1,Nb2 Se4 Br4,Nb(SeBr)2,1.0961364170632693,1.866026782652541,0.0,Yes,0.9801500000000001,0.9702000000000002,0.9901,1.907244,2,mp-541667|mp-569623,0.11598641706326918,-0.04121721734745898
1NiH2O2-1,Ni1 H2 O2,Ni(HO)2,1.0783213608447477,3.271934327387261,0.03828775563118505,Yes,1.401633333333333,0.5337999999999998,1.8699999999999999,4.322168,4,mp-625072|mp-32403|mp-626794|mp-626843,-0.32331197248858534,-1.0502336726127384
2WBr2O2-1,W2 Br4 O4,W(BrO)2,1.1487080649315975,2.348259870038741,0.0,Yes,0.8926999999999999,0.8926999999999999,0.8926999999999999,1.082128,1,mp-774146,0.25600806493159756,1.2661318700387412
1SeSb2Te2-1,Sb2 Te2 Se1,Sb2Te2Se,0.3996818925608663,0.7761599050563233,0.0057557162280062356,Yes,0.1266999999999996,0.1266999999999996,0.1266999999999996,0.41189600000000004,1,mp-3525,0.2729818925608667,0.3642639050563232
1MgCl2-1,Mg1 Cl2,MgCl2,5.94118234136039,7.294068617459455,2.9605947323337506e-16,Yes,4.81625,3.379,5.6168,7.04159473,6,mp-570782|mp-570259|mp-569626|mp-571387|mp-23210|mp-570922,1.12493234136039,0.2524738874594554
1MgCl2-3,Mg1 Cl2,MgCl2,4.761514145990555,6.062543426890128,0.19015048034516754,No,4.81625,3.379,5.6168,7.04159473,6,mp-570782|mp-570259|mp-569626|mp-571387|mp-23210|mp-570922,-0.05473585400944536,-0.9790513031098715
1MgCl2-2,Mg1 Cl2,MgCl2,5.292984488993644,6.65335431032235,0.07895950953478614,Yes,4.81625,3.379,5.6168,7.04159473,6,mp-570782|mp-570259|mp-569626|mp-571387|mp-23210|mp-570922,0.47673448899364423,-0.38824041967764966
2RuS2-1,Ru2 S4,RuS2,0.7254675520557208,1.5833182530472873,0.1669996264350624,Yes,0.6675999999999993,0.6675999999999993,0.6675999999999993,1.643238,1,mp-2030,0.05786755205572147,-0.05991974695271263
1MoSe2-1,Mo1 Se2,MoSe2,1.3214381859138422,1.804162297991274,0.0,Yes,1.312442857142857,1.1384,1.4317,1.8472659999999999,7,mp-1027692|mp-1025799|mp-1023940|mp-1018807|mp-1634|mp-7581|mp-1023934,0.00899532877098519,-0.04310370200872593
1SiS2-2,Si1 S2,SiS2,1.3827338811558196,2.2164711320578667,0.11075547689431293,Yes,3.1794000000000002,3.0676,3.2912,3.985316,2,mp-1602|mp-7583,-1.7966661188441806,-1.7688448679421334
1SiS2-1,Si1 S2,SiS2,1.6946451507720621,2.7917583907001955,0.08632792880767563,Yes,3.1794000000000002,3.0676,3.2912,3.985316,2,mp-1602|mp-7583,-1.484754849227938,-1.1935576092998046
1MgI2-1,Mg1 I2,MgI2,3.2728220824909773,4.200995867411706,0.0012461386178583094,Yes,3.6162000000000005,3.6162000000000005,3.6162000000000005,4.77486231,1,mp-23205,-0.34337791750902324,-0.5738664425882938
1MgI2-3,Mg1 I2,MgI2,2.565920488369329,3.4479388759681475,0.16015347106091463,No,3.6162000000000005,3.6162000000000005,3.6162000000000005,4.77486231,1,mp-23205,-1.0502795116306713,-1.326923434031852
1MgI2-2,Mg1 I2,MgI2,3.4561932032195894,4.438057623690798,0.03953939326748657,Yes,3.6162000000000005,3.6162000000000005,3.6162000000000005,4.77486231,1,mp-23205,-0.16000679678041108,-0.33680468630920135
2SnI2-1,Sn2 I4,SnI2,1.5267630134561974,2.1778097294612913,0.053403852598266965,Yes,1.45545,1.2047999999999996,1.7061000000000002,1.7848950000000001,2,mp-27194|mp-978846,0.07131301345619745,0.39291472946129113
2FeS2-1,Fe2 S4,FeS2,0.6541283608277073,1.3309970499420556,0.14764705732488537,Yes,0.4444000000000005,0.0,0.8770000000000007,2.023654,3,mp-226|mp-1522|mp-615366,0.2097283608277068,-0.6926569500579445
2MgCl2-1,Mg2 Cl4,MgCl2,4.50389946664683,5.908026099104898,0.13933321759298986,Yes,4.81625,3.379,5.6168,7.04159473,6,mp-570782|mp-570259|mp-569626|mp-571387|mp-23210|mp-570922,-0.31235053335317,-1.1335686308951018
2WSe2-1,W2 Se4,WSe2,0.0318612736948361,0.11766957125874766,0.09169690959264543,Yes,1.3875199999999999,1.1997000000000002,1.5384,1.917704,5,mp-1025572|mp-1023933|mp-1821|mp-1028698|mp-1023936,-1.3556587263051638,-1.8000344287412524
4ReSe2-1,Re4 Se8,ReSe2,1.1153457374213598,1.6209443017397733,0.0,Yes,1.1434000000000002,1.1434000000000002,1.1434000000000002,1.679338,1,mp-541582,-0.02805426257864041,-0.05839369826022667
1SnO2-1,Sn1 O2,SnO2,2.682843652111906,4.204344282699862,0.1509950331367366,Yes,0.8930636363636366,0.0,2.0890000000000004,1.687905,12,mp-1047381|mp-1041984|mp-755071|mp-12978|mp-550172|mp-856|mp-12979|mvc-11686|mp-697|mp-560417|mp-555487|mp-562610,1.7897800157482693,2.516439282699862
2RuTe2-1,Te4 Ru2,Te2Ru,0.6417526977208197,1.0714100934225907,0.11747959250699817,Yes,0.19714999999999971,0.11129999999999995,0.2829999999999995,0.933229,2,mp-1848|mp-267,0.44460269772081995,0.13818109342259077
4SiS2-1,Si4 S8,SiS2,3.427869302244632,4.553298867080243,0.009779869074110437,Yes,3.1794000000000002,3.0676,3.2912,3.985316,2,mp-1602|mp-7583,0.2484693022446316,0.5679828670802429
1BaBr2-2,Ba1 Br2,BaBr2,4.157127248758916,5.327696974309628,0.16706268783939096,Yes,4.3731,4.3731,4.3731,5.4549710000000005,1,mp-27456,-0.21597275124108428,-0.12727402569037238
1BaBr2-1,Ba1 Br2,BaBr2,4.902112602626158,6.030512225994435,0.056444759765483354,Yes,4.3731,4.3731,4.3731,5.4549710000000005,1,mp-27456,0.5290126026261577,0.5755412259944341
1HfTe2-2,Hf1 Te2,HfTe2,0.1316330719686828,0.6648010372491499,0.1333685658145677,Yes,,,,0.12364051000000001,1,mp-32887,,0.5411605272491499
1BaI2-1,Ba1 I2,BaI2,3.8728610404507675,4.873623187282922,0.02119508395719431,Yes,3.2512000000000003,3.0499,3.4525000000000006,4.619377999999999,2,mp-568536|mp-23260,0.6216610404507672,0.25424518728292256
1BaI2-2,Ba1 I2,BaI2,3.3323879224827637,4.273588336806361,0.1051030507962653,Yes,3.2512000000000003,3.0499,3.4525000000000006,4.619377999999999,2,mp-568536|mp-23260,0.08118792248276341,-0.3457896631936386
1GeI2-1,Ge1 I2,GeI2,1.9539583637002689,2.6677781234157325,0.0026261131971487086,Yes,1.9903,1.9586,2.022,2.810701,2,mp-27922|mp-567677,-0.036341636299731084,-0.1429228765842674
1GeI2-3,Ge1 I2,GeI2,1.0124442093320551,1.592628637840922,0.15317912719126933,No,1.9903,1.9586,2.022,2.810701,2,mp-27922|mp-567677,-0.9778557906679448,-1.2180723621590779
1TiO2-1,Ti1 O2,TiO2,2.700828614489272,5.218116611537117,0.13546633337948025,No,2.3426714285714287,1.0564999999999998,3.4299,3.858826635,22,mp-390|mp-777129|mp-430|mp-1840|mp-25433|mp-1008677|mp-25262|mp-34688|mp-2657|mp-1439|mp-572822|mp-1044853|mp-756655|mp-775938|mp-636827|mp-9173|mp-554278|mp-849533|mp-553432|mp-756587|mp-754769|mp-754672,0.3581571859178432,1.3592899765371174
1HgF2-2,Hg1 F2,HgF2,2.088617019967936,3.874867141219684,0.16184249215828336,No,0.6850500000000002,0.40170000000000017,0.9684,1.8814829999999998,2,mp-8177|mp-974603,1.4035670199679358,1.9933841412196842
1HgF2-1,Hg1 F2,HgF2,1.7281218969599035,3.4305103462807276,0.03226711931028051,Yes,0.6850500000000002,0.40170000000000017,0.9684,1.8814829999999998,2,mp-8177|mp-974603,1.0430718969599033,1.5490273462807278
1PdO2-1,Pd1 O2,PdO2,1.3789335506001916,2.87549230071145,0.0,Yes,0.0,0.0,0.0,0.0,2,mp-752735|mp-1018886,1.3789335506001916,2.87549230071145
1HgBr2-3,Hg1 Br2,HgBr2,1.9816689705898143,2.927897983164752,0.03814702165014753,No,2.1116,1.682,2.5412,3.607982,2,mp-23292|mp-571558,-0.12993102941018586,-0.6800840168352478
1HgBr2-2,Hg1 Br2,HgBr2,2.007113530949182,3.061738018109891,0.019136429719642873,Yes,2.1116,1.682,2.5412,3.607982,2,mp-23292|mp-571558,-0.10448646905081826,-0.5462439818901088
1HgBr2-4,Hg1 Br2,HgBr2,1.5731883272755778,2.458718900666394,0.13820614486548286,No,2.1116,1.682,2.5412,3.607982,2,mp-23292|mp-571558,-0.5384116727244224,-1.1492630993336057
1HgBr2-1,Hg1 Br2,HgBr2,2.791439144194647,3.928346396544052,0.0,Yes,2.1116,1.682,2.5412,3.607982,2,mp-23292|mp-571558,0.6798391441946467,0.32036439654405235
2RuSe2-1,Ru2 Se4,RuSe2,0.778794279676339,1.5952369559102693,0.07558242835628448,Yes,0.3113999999999999,0.3113999999999999,0.3113999999999999,1.142039,1,mp-1922,0.46739427967633906,0.45319795591026923
2CrF2-1,Cr2 F4,CrF2,1.396367589055298,4.279998908163588,0.11661621862987677,Yes,,,,3.240871,1,mp-554340,,1.039127908163588
3CrSe2-1,Cr3 Se6,CrSe2,0.4782576155027002,1.1581828168142558,0.05385369810735183,Yes,0.0,0.0,0.0,0.0,1,mp-1009581,0.4782576155027002,1.1581828168142558
2MoS2-1,Mo2 S4,MoS2,0.05102847991953441,0.06948461062999045,0.18014169385649956,Yes,1.1593555555555555,0.0,1.6582,1.870464525,9,mp-1042086|mp-558544|mp-1027525|mp-1018809|mp-1023939|mp-1025874|mp-1434|mp-2815|mp-1023924,-1.108327075636021,-1.8009799143700096
4RhSe2-1,Rh4 Se8,RhSe2,0.5825120467774565,1.04627650186108,0.03368193762578472,Yes,0.0,0.0,0.0,0.0,1,mp-983,0.5825120467774565,1.04627650186108
2OsSe2-1,Os2 Se4,OsSe2,0.5672753644166775,1.389307349052195,0.0,Yes,0.0,0.0,0.0,0.40780099999999997,1,mp-2480,0.5672753644166775,0.981506349052195
2PdSe2-1,Pd2 Se4,PdSe2,1.3131703410322992,2.048419971583404,0.003589265294892341,Yes,0.5105,0.5105,0.5105,1.274697,1,mp-2418,0.8026703410322993,0.773722971583404
2PdSe2-2,Pd2 Se4,PdSe2,0.6349639746449671,1.2336115975552109,0.04376301110705335,Yes,0.5105,0.5105,0.5105,1.274697,1,mp-2418,0.12446397464496717,-0.04108540244478909
2CuF2-1,Cu2 F4,CuF2,0.8252403198535525,4.027508565401927,0.011148038970539767,Yes,0.0,0.0,0.0,0.0,1,mp-1229,0.8252403198535525,4.027508565401927
1MnS2-1,Mn1 S2,MnS2,0.0,1.1341761700303234,0.0,Yes,0.0,0.0,0.0,1.1266530000000001,2,mp-1018804|mp-1455,0.0,0.007523170030323323
4SeO2-1,Se4 O8,SeO2,2.8223588589586908,3.9801777129186364,0.023076970318814578,Yes,3.3719333333333332,3.2709,3.4255,4.768394000000001,3,mp-560882|mp-726|mp-559545,-0.5495744743746425,-0.7882162870813643
2SCu2-1,Cu4 S2,Cu2S,0.163857352622931,1.4422528373819596,0.012236364937837233,Yes,0.03222500000000017,0.0,0.12890000000000068,0.23747649999999998,4,mp-618991|mp-553942|mp-12087|mp-674831,0.13163235262293083,1.2047763373819596
2PbBr2-1,Pb2 Br4,PbBr2,1.9381053820934957,2.8516702624321644,0.036864242894576314,Yes,2.5709,2.5709,2.5709,3.599968,2,mp-28077|mp-862868,-0.6327946179065043,-0.7482977375678357
4AgF2-2,Ag4 F8,AgF2,0.3248656156453178,1.6373186247040907,0.017468986627938204,Yes,0.0,0.0,0.0,0.0,2,mp-2284|mp-7715,0.3248656156453178,1.6373186247040907
1SnBr2-3,Sn1 Br2,SnBr2,1.270106624996425,1.8921494768252014,0.13621589001761944,No,2.5388,2.5388,2.5388,2.1122639999999997,2,mp-978985|mp-29862,-1.2686933750035752,-0.2201145231747983
1SnBr2-2,Sn1 Br2,SnBr2,2.4994153724433605,3.2201061244933804,0.08578095982883556,No,2.5388,2.5388,2.5388,2.1122639999999997,2,mp-978985|mp-29862,-0.03938462755663963,1.1078421244933807
1SnBr2-1,Sn1 Br2,SnBr2,2.0968721473050804,2.8670738141172745,1.4802973661668753e-16,No,2.5388,2.5388,2.5388,2.1122639999999997,2,mp-978985|mp-29862,-0.44192785269491974,0.7548098141172748
4IrTe2-1,Te8 Ir4,Te2Ir,0.551174657428284,0.8975221472140754,0.06567739009389266,Yes,0.0,0.0,0.0,0.0,6,mp-10845|mp-1551|mp-2285|mp-10844|mp-569388|mp-569322,0.551174657428284,0.8975221472140754
1GeS2-1,Ge1 S2,GeS2,1.3444942134779445,2.4339923336279483,0.04867197092959626,Yes,2.305425,2.1396,2.5744,3.1536860000000004,4,mp-572892|mp-7582|mp-542613|mp-622213,-0.9609307865220555,-0.7196936663720521
1GeS2-2,Ge1 S2,GeS2,0.7290217340043323,1.4046715687206248,0.12265027167945242,Yes,2.305425,2.1396,2.5744,3.1536860000000004,4,mp-572892|mp-7582|mp-542613|mp-622213,-1.5764032659956677,-1.7490144312793756
1MnO2-1,Mn1 O2,MnO2,1.1321890142198083,4.136989447015512,0.018068721956711425,Yes,0.8135166666666667,0.0,1.5915000000000001,2.451439092857143,12,mp-1041066|mp-19326|mp-25558|mp-19395|mp-510408|mp-644514|mp-705430|mp-25547|mp-25545|mp-543057|mp-772598|mp-773240,0.31867234755314167,1.6855503541583694
1PbBr2-1,Pb1 Br2,PbBr2,2.0041395188281097,2.925616985757542,0.0,Yes,2.5709,2.5709,2.5709,3.599968,2,mp-28077|mp-862868,-0.5667604811718903,-0.674351014242458
1PbBr2-3,Pb1 Br2,PbBr2,1.6608232029364642,2.418454406077463,0.13567330270406805,No,2.5709,2.5709,2.5709,3.599968,2,mp-28077|mp-862868,-0.9100767970635357,-1.1815135939225372
1PbBr2-2,Pb1 Br2,PbBr2,2.2748645531750835,3.2478686587403254,0.08162487183255725,Yes,2.5709,2.5709,2.5709,3.599968,2,mp-28077|mp-862868,-0.29603544682491645,-0.3520993412596747
2CdI2-1,Cd2 I4,CdI2,2.239007155731164,3.1718806653220297,0.0,Yes,2.3669086206896552,2.3195,2.4482,3.336462,116,mp-571136|mp-569964|mp-680111|mp-571635|mp-569722|mp-573588|mp-571197|mp-647489|mp-680092|mp-573608|mp-569994|mp-582084|mp-571539|mp-571568|mp-570695|mp-570882|mp-567483|mp-570671|mp-627557|mp-571519|mp-669358|mp-627401|mp-571579|mp-570437|mp-568289|mp-570054|mp-669340|mp-669360|mp-571578|mp-567534|mp-571559|mp-567567|mp-570559|mp-571607|mp-570082|mp-571592|mp-669357|mp-570448|mp-571583|mp-571660|mp-571646|mp-568233|mp-570492|mp-571668|mp-571605|mp-571616|mp-28248|mp-571593|mp-571654|mp-570472|mp-570610|mp-570410|mp-569666|mp-570314|mp-571538|mp-570089|mp-569468|mp-571569|mp-570781|mp-571567|mp-571613|mp-569611|mp-571535|mp-570165|mp-570552|mp-574663|mp-571595|mp-571603|mp-669326|mp-570019|mp-582042|mp-570939|mp-669334|mp-570127|mp-571514|mp-571225|mp-570511|mp-680133|mp-571667|mp-571615|mp-680144|mp-567442|mp-680055|mp-567359|mp-680153|mp-680145|mp-680119|mp-567259|mp-624406|mp-680115|mp-680118|mp-567296|mp-680152|mp-567402|mp-624399|mp-571037|mp-680148|mp-684029|mp-680116|mp-680094|mp-569510|mp-680172|mp-680146|mp-680047|mp-624400|mp-624417|mp-567336|mp-680112|mp-680095|mp-680120|mp-624418|mp-680113|mp-571091|mp-680046|mp-680114|mp-680093,-0.1279014649584913,-0.16458133467797031
2PtI2-1,Pt2 I4,PtI2,0.7835646736438819,1.7418243471971437,0.04104035128011082,Yes,1.2250999999999999,1.2250999999999999,1.2250999999999999,2.309022,1,mp-28319,-0.4415353263561179,-0.5671976528028564
1PtSe2-1,Pt1 Se2,PtSe2,1.1666545013209406,1.6358330263444107,7.401486830834377e-17,Yes,0.8273999999999999,0.8273999999999999,0.8273999999999999,1.120346,1,mp-1115,0.3392545013209407,0.5154870263444107
6SCu2-1,Cu12 S6,Cu2S,0.6269118800897522,1.5974927987060024,0.06804200271281086,Yes,0.03222500000000017,0.0,0.12890000000000068,0.23747649999999998,4,mp-618991|mp-553942|mp-12087|mp-674831,0.594686880089752,1.3600162987060025
4CdCl2-1,Cd4 Cl8,CdCl2,3.3588456320817204,4.606369458873189,0.03797391578175121,Yes,3.5179,3.5144,3.5214,4.6494824,2,mp-22881|mp-695850,-0.15905436791827965,-0.043112941126810966
4CdCl2-2,Cd4 Cl8,CdCl2,3.473709138350041,4.827472191844619,0.03894977923671158,Yes,3.5179,3.5144,3.5214,4.6494824,2,mp-22881|mp-695850,-0.04419086164995889,0.1779897918446185
2PbF2-1,Pb2 F4,PbF2,4.397013724173844,5.805723742553335,0.07000992480741886,Yes,4.3827,4.3707,4.395099999999999,5.57314154,3,mp-2511|mp-315|mp-685150,0.014313724173844022,0.23258220255333484
1MgF2-1,Mg1 F2,MgF2,7.534444494178011,9.796043658608728,0.07071396287776939,Yes,6.609933333333333,6.2865,6.824,8.646061666666666,3,mp-1249|mp-1746|mp-560236,0.9245111608446779,1.1499819919420613
