formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin
LiBeBr3,2LiMgBr3-1,LiMgBr3,p-31m,71,P-31m,Hexagonal (hp),5.674179509123846,0.04101406104567218,Yes,Mg→Be,0.95,1.31,1.57,0.26,1.45,1.12,0.32999999999999985,0.22758620689655162,medium,True,LiBeBr3,p-31m,p-31m,False,False,new_composition,,,,,,,,265,5.856773376464844,True,4-6
LiCaBr3,2LiMgBr3-1,LiMgBr3,p-31m,71,P-31m,Hexagonal (hp),5.674179509123846,0.04101406104567218,Yes,Mg→Ca,0.845,1.31,1.0,0.31000000000000005,1.45,1.94,0.49,0.33793103448275863,high,True,LiCaBr3,p-31m,p-31m,False,False,new_composition,,,,,,,,266,6.011180877685547,True,6-8
SrLiBr3,2LiMgBr3-1,LiMgBr3,p-31m,71,P-31m,Hexagonal (hp),5.674179509123846,0.04101406104567218,Yes,Mg→Sr,0.835,1.31,0.95,0.3600000000000001,1.45,2.19,0.74,0.5103448275862069,high,True,SrLiBr3,p-31m,p-31m,False,False,new_composition,,,,,,,,267,5.484180927276611,True,4-6
BaLiBr3,2LiMgBr3-1,LiMgBr3,p-31m,71,P-31m,Hexagonal (hp),5.674179509123846,0.04101406104567218,Yes,Mg→Ba,0.845,1.31,0.89,0.42000000000000004,1.45,2.53,1.0799999999999998,0.7448275862068965,high,True,BaLiBr3,p-31m,p-31m,False,False,new_composition,,,,,,,,268,4.885239124298096,True,4-6
NaMgBr3,2LiMgBr3-1,LiMgBr3,p-31m,71,P-31m,Hexagonal (hp),5.674179509123846,0.04101406104567218,Yes,Li→Na,0.905,0.98,0.93,0.04999999999999993,1.67,1.9,0.22999999999999998,0.1377245508982036,low,False,NaMgBr3,p-31m,p-31m,False,False,new_composition,,,,,,,,269,5.7948689460754395,True,4-6
KMgBr3,2LiMgBr3-1,LiMgBr3,p-31m,71,P-31m,Hexagonal (hp),5.674179509123846,0.04101406104567218,Yes,Li→K,0.745,0.98,0.82,0.16000000000000003,1.67,2.43,0.7600000000000002,0.4550898203592816,high,True,KMgBr3,p-31m,p-31m,False,False,new_composition,,,,,,,,270,5.3183207511901855,True,4-6
RbMgBr3,2LiMgBr3-1,LiMgBr3,p-31m,71,P-31m,Hexagonal (hp),5.674179509123846,0.04101406104567218,Yes,Li→Rb,0.74,0.98,0.82,0.16000000000000003,1.67,2.65,0.98,0.5868263473053892,high,True,RbMgBr3,p-31m,p-31m,False,False,new_composition,,,,,,,,271,4.483839988708496,True,4-6
CsMgBr3,2LiMgBr3-1,LiMgBr3,p-31m,71,P-31m,Hexagonal (hp),5.674179509123846,0.04101406104567218,Yes,Li→Cs,0.77,0.98,0.79,0.18999999999999995,1.67,2.98,1.31,0.784431137724551,high,True,CsMgBr3,p-31m,p-31m,False,False,new_composition,,,,,,,,272,5.00541353225708,True,4-6
LiMgF3,2LiMgBr3-1,LiMgBr3,p-31m,71,P-31m,Hexagonal (hp),5.674179509123846,0.04101406104567218,Yes,Br→F,0.955,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,LiMgF3,p-31m,p-31m,False,False,new_composition,,,,,,,,273,9.693941116333008,True,8-10
KCaI3,2CaNaI3-1,NaCaI3,p-31m,71,P-31m,Hexagonal (hp),4.678803649065653,0.05939036707001346,Yes,Na→K,0.78,0.93,0.82,0.1100000000000001,1.9,2.43,0.5300000000000002,0.2789473684210528,medium,True,KCaI3,p-31m,p-31m,False,False,new_composition,,,,,,,,277,3.687147617340088,True,2-4
RbCaI3,2CaNaI3-1,NaCaI3,p-31m,71,P-31m,Hexagonal (hp),4.678803649065653,0.05939036707001346,Yes,Na→Rb,0.755,0.93,0.82,0.1100000000000001,1.9,2.65,0.75,0.39473684210526316,high,True,RbCaI3,p-31m,p-31m,False,False,new_composition,,,,,,,,278,3.8643798828125,True,2-4
CsCaI3,2CaNaI3-1,NaCaI3,p-31m,71,P-31m,Hexagonal (hp),4.678803649065653,0.05939036707001346,Yes,Na→Cs,0.725,0.93,0.79,0.14,1.9,2.98,1.08,0.568421052631579,high,True,CsCaI3,p-31m,p-31m,False,False,new_composition,,,,,,,,279,3.507009983062744,True,2-4
NaCaF3,2CaNaI3-1,NaCaI3,p-31m,71,P-31m,Hexagonal (hp),4.678803649065653,0.05939036707001346,Yes,I→F,0.915,2.66,3.98,1.3199999999999998,1.15,0.42,0.73,0.6347826086956522,high,True,NaCaF3,p-31m,p-31m,False,False,new_composition,,,,,,,,280,9.788369178771973,True,8-10
NaCaCl3,2CaNaI3-1,NaCaI3,p-31m,71,P-31m,Hexagonal (hp),4.678803649065653,0.05939036707001346,Yes,I→Cl,0.825,2.66,3.16,0.5,1.15,0.79,0.3599999999999999,0.3130434782608695,high,True,NaCaCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,281,7.668360710144043,True,6-8
NaCaBr3,2CaNaI3-1,NaCaI3,p-31m,71,P-31m,Hexagonal (hp),4.678803649065653,0.05939036707001346,Yes,I→Br,0.805,2.66,2.96,0.2999999999999998,1.15,0.94,0.20999999999999996,0.18260869565217389,medium,True,NaCaBr3,p-31m,p-31m,False,False,new_composition,,,,,,,,282,6.267475128173828,True,6-8
RbPO3,2NRbO3-1,RbNO3,p2_1/m11,15,P2_1/m,Rectangular (op),5.286226532964832,0.0,Yes,N→P,0.705,3.04,2.19,0.8500000000000001,0.56,0.98,0.41999999999999993,0.7499999999999998,high,True,RbPO3,p2_1/m11,p2_1/m11,False,False,new_composition,,,,,,,,284,6.256536483764648,True,6-8
RbAsO3,2NRbO3-1,RbNO3,p2_1/m11,15,P2_1/m,Rectangular (op),5.286226532964832,0.0,Yes,N→As,0.75,3.04,2.18,0.8599999999999999,0.56,1.14,0.5799999999999998,1.0357142857142854,high,True,RbAsO3,p2_1/m11,p2_1/m11,False,False,new_composition,,,,,,,,285,7.043325424194336,True,6-8
RbSbO3,2NRbO3-1,RbNO3,p2_1/m11,15,P2_1/m,Rectangular (op),5.286226532964832,0.0,Yes,N→Sb,0.725,3.04,2.05,0.9900000000000002,0.56,1.33,0.77,1.375,high,True,RbSbO3,p2_1/m11,p2_1/m11,False,False,new_composition,,,,,,,,286,6.4385600090026855,True,6-8
NaMnCl3,2LiMnCl3-1,LiMnCl3,p-31m,71,P-31m,Hexagonal (hp),5.383826679282638,0.032962796714218,Yes,Li→Na,0.885,0.98,0.93,0.04999999999999993,1.67,1.9,0.22999999999999998,0.1377245508982036,low,False,NaMnCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,290,4.494661808013916,True,4-6
KMnCl3,2LiMnCl3-1,LiMnCl3,p-31m,71,P-31m,Hexagonal (hp),5.383826679282638,0.032962796714218,Yes,Li→K,0.815,0.98,0.82,0.16000000000000003,1.67,2.43,0.7600000000000002,0.4550898203592816,high,True,KMnCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,291,3.061372756958008,False,2-4
RbMnCl3,2LiMnCl3-1,LiMnCl3,p-31m,71,P-31m,Hexagonal (hp),5.383826679282638,0.032962796714218,Yes,Li→Rb,0.81,0.98,0.82,0.16000000000000003,1.67,2.65,0.98,0.5868263473053892,high,True,RbMnCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,292,1.408936619758606,False,0-2
CsMnCl3,2LiMnCl3-1,LiMnCl3,p-31m,71,P-31m,Hexagonal (hp),5.383826679282638,0.032962796714218,Yes,Li→Cs,0.825,0.98,0.79,0.18999999999999995,1.67,2.98,1.31,0.784431137724551,high,True,CsMnCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,293,2.7272515296936035,False,2-4
YSbO3,2SbScO3-1,ScSbO3,p-31m,71,P-31m,Hexagonal (hp),5.077438341403328,0.017569160434504384,Yes,Sc→Y,0.635,1.36,1.22,0.14000000000000012,1.84,2.12,0.28,0.15217391304347827,medium,True,YSbO3,p-31m,p-31m,False,False,new_composition,,,,,,,,294,4.460785865783691,True,4-6
CsO3F,2ClCsO3-1,CsClO3,p2_1/m11,15,P2_1/m,Rectangular (op),6.615898979552831,0.05953217352885334,Yes,Cl→F,0.795,3.16,3.98,0.8199999999999998,0.79,0.42,0.37000000000000005,0.4683544303797469,high,True,CsO3F,p2_1/m11,p2_1/m11,False,False,new_composition,,,,,,,,297,4.879428863525391,True,4-6
CoNO3,2CoSbO3-1,CoSbO3,p-31m,71,P-31m,Hexagonal (hp),3.6425457212431938,0.05144821819556604,Yes,Sb→N,0.525,2.05,3.04,0.9900000000000002,1.33,0.56,0.77,0.5789473684210527,high,True,CoNO3,p-31m,p-31m,False,False,new_composition,,,,,,,,301,1.2888035774230957,False,0-2
CaCuF3,2CaCuI3-1,CaCuI3,p-31m,71,P-31m,Hexagonal (hp),4.14049417821903,0.028273355013463862,Yes,I→F,0.835,2.66,3.98,1.3199999999999998,1.15,0.42,0.73,0.6347826086956522,high,True,CaCuF3,p-31m,p-31m,False,False,new_composition,,,,,,,,302,5.1227617263793945,True,4-6
ZnCO3,2GeZnO3-1,ZnGeO3,p-31m,71,P-31m,Hexagonal (hp),4.446110333053714,0.11933395552917467,Yes,Ge→C,0.575,2.01,2.55,0.54,1.25,0.67,0.58,0.46399999999999997,high,True,ZnCO3,p-31m,p-31m,False,False,new_composition,,,,,,,,305,5.713843822479248,True,4-6
LiBeI3,2LiMgI3-1,LiMgI3,p-31m,71,P-31m,Hexagonal (hp),4.513965972185354,0.0534441506616302,Yes,Mg→Be,0.855,1.31,1.57,0.26,1.45,1.12,0.32999999999999985,0.22758620689655162,medium,True,LiBeI3,p-31m,p-31m,False,False,new_composition,,,,,,,,307,4.871477127075195,True,4-6
BaLiI3,2LiMgI3-1,LiMgI3,p-31m,71,P-31m,Hexagonal (hp),4.513965972185354,0.0534441506616302,Yes,Mg→Ba,0.865,1.31,0.89,0.42000000000000004,1.45,2.53,1.0799999999999998,0.7448275862068965,high,True,BaLiI3,p-31m,p-31m,False,False,new_composition,,,,,,,,308,3.945335865020752,True,2-4
KMgI3,2LiMgI3-1,LiMgI3,p-31m,71,P-31m,Hexagonal (hp),4.513965972185354,0.0534441506616302,Yes,Li→K,0.78,0.98,0.82,0.16000000000000003,1.67,2.43,0.7600000000000002,0.4550898203592816,high,True,KMgI3,p-31m,p-31m,False,False,new_composition,,,,,,,,310,4.176044940948486,True,4-6
RbMgI3,2LiMgI3-1,LiMgI3,p-31m,71,P-31m,Hexagonal (hp),4.513965972185354,0.0534441506616302,Yes,Li→Rb,0.8,0.98,0.82,0.16000000000000003,1.67,2.65,0.98,0.5868263473053892,high,True,RbMgI3,p-31m,p-31m,False,False,new_composition,,,,,,,,311,3.622525691986084,True,2-4
CsMgI3,2LiMgI3-1,LiMgI3,p-31m,71,P-31m,Hexagonal (hp),4.513965972185354,0.0534441506616302,Yes,Li→Cs,0.76,0.98,0.79,0.18999999999999995,1.67,2.98,1.31,0.784431137724551,high,True,CsMgI3,p-31m,p-31m,False,False,new_composition,,,,,,,,312,3.320103168487549,False,2-4
GaNO3,2GaSbO3-1,GaSbO3,p-31m,71,P-31m,Hexagonal (hp),4.973032755334708,0.0,Yes,Sb→N,0.615,2.05,3.04,0.9900000000000002,1.33,0.56,0.77,0.5789473684210527,high,True,GaNO3,p-31m,p-31m,False,False,new_composition,,,,,,,,316,2.747927665710449,False,2-4
NaCdBr3,2CdLiBr3-1,LiCdBr3,p-31m,71,P-31m,Hexagonal (hp),4.402416551650122,0.03868142673461854,Yes,Li→Na,0.625,0.98,0.93,0.04999999999999993,1.67,1.9,0.22999999999999998,0.1377245508982036,low,False,NaCdBr3,p-31m,p-31m,False,False,new_composition,,,,,,,,319,4.572573184967041,True,4-6
KCdBr3,2CdLiBr3-1,LiCdBr3,p-31m,71,P-31m,Hexagonal (hp),4.402416551650122,0.03868142673461854,Yes,Li→K,0.63,0.98,0.82,0.16000000000000003,1.67,2.43,0.7600000000000002,0.4550898203592816,high,True,KCdBr3,p-31m,p-31m,False,False,new_composition,,,,,,,,320,4.813859939575195,True,4-6
RbCdBr3,2CdLiBr3-1,LiCdBr3,p-31m,71,P-31m,Hexagonal (hp),4.402416551650122,0.03868142673461854,Yes,Li→Rb,0.525,0.98,0.82,0.16000000000000003,1.67,2.65,0.98,0.5868263473053892,high,True,RbCdBr3,p-31m,p-31m,False,False,new_composition,,,,,,,,321,4.488627910614014,True,4-6
LiBeCl3,2LiMgCl3-1,LiMgCl3,p-31m,71,P-31m,Hexagonal (hp),7.012333418928682,0.03439843260186777,Yes,Mg→Be,0.96,1.31,1.57,0.26,1.45,1.12,0.32999999999999985,0.22758620689655162,medium,True,LiBeCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,323,7.610446929931641,True,6-8
LiCaCl3,2LiMgCl3-1,LiMgCl3,p-31m,71,P-31m,Hexagonal (hp),7.012333418928682,0.03439843260186777,Yes,Mg→Ca,0.855,1.31,1.0,0.31000000000000005,1.45,1.94,0.49,0.33793103448275863,high,True,LiCaCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,324,7.208174705505371,True,6-8
SrLiCl3,2LiMgCl3-1,LiMgCl3,p-31m,71,P-31m,Hexagonal (hp),7.012333418928682,0.03439843260186777,Yes,Mg→Sr,0.82,1.31,0.95,0.3600000000000001,1.45,2.19,0.74,0.5103448275862069,high,True,SrLiCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,325,6.702587604522705,True,6-8
BaLiCl3,2LiMgCl3-1,LiMgCl3,p-31m,71,P-31m,Hexagonal (hp),7.012333418928682,0.03439843260186777,Yes,Mg→Ba,0.825,1.31,0.89,0.42000000000000004,1.45,2.53,1.0799999999999998,0.7448275862068965,high,True,BaLiCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,326,6.190213680267334,True,6-8
NaMgCl3,2LiMgCl3-1,LiMgCl3,p-31m,71,P-31m,Hexagonal (hp),7.012333418928682,0.03439843260186777,Yes,Li→Na,0.92,0.98,0.93,0.04999999999999993,1.67,1.9,0.22999999999999998,0.1377245508982036,low,False,NaMgCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,327,7.012096405029297,True,6-8
KMgCl3,2LiMgCl3-1,LiMgCl3,p-31m,71,P-31m,Hexagonal (hp),7.012333418928682,0.03439843260186777,Yes,Li→K,0.88,0.98,0.82,0.16000000000000003,1.67,2.43,0.7600000000000002,0.4550898203592816,high,True,KMgCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,328,5.686583518981934,True,4-6
RbMgCl3,2LiMgCl3-1,LiMgCl3,p-31m,71,P-31m,Hexagonal (hp),7.012333418928682,0.03439843260186777,Yes,Li→Rb,0.865,0.98,0.82,0.16000000000000003,1.67,2.65,0.98,0.5868263473053892,high,True,RbMgCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,329,5.373379707336426,True,4-6
CsMgCl3,2LiMgCl3-1,LiMgCl3,p-31m,71,P-31m,Hexagonal (hp),7.012333418928682,0.03439843260186777,Yes,Li→Cs,0.85,0.98,0.79,0.18999999999999995,1.67,2.98,1.31,0.784431137724551,high,True,CsMgCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,330,5.401478290557861,True,4-6
InBO3,2GaInO3-1,InGaO3,pm2_1n,32,Pmn2_1,Rectangular (op),3.6648377168787616,0.05551166139117427,Yes,Ga→B,0.715,1.81,2.04,0.22999999999999998,1.36,0.87,0.4900000000000001,0.3602941176470589,high,True,InBO3,pm2_1n,pm2_1n,False,False,new_composition,,,,,,,,333,4.169257164001465,True,4-6
BeCuCl3,2CaCuCl3-1,CaCuCl3,p-31m,71,P-31m,Hexagonal (hp),5.028109040266672,0.021909963679063792,Yes,Ca→Be,0.705,1.0,1.57,0.5700000000000001,1.94,1.12,0.8199999999999998,0.42268041237113396,high,True,BeCuCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,335,2.5844030380249023,False,2-4
SrCuCl3,2CaCuCl3-1,CaCuCl3,p-31m,71,P-31m,Hexagonal (hp),5.028109040266672,0.021909963679063792,Yes,Ca→Sr,0.975,1.0,0.95,0.050000000000000044,1.94,2.19,0.25,0.1288659793814433,low,False,SrCuCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,336,4.638873100280762,True,4-6
BaCuCl3,2CaCuCl3-1,CaCuCl3,p-31m,71,P-31m,Hexagonal (hp),5.028109040266672,0.021909963679063792,Yes,Ca→Ba,0.92,1.0,0.89,0.10999999999999999,1.94,2.53,0.5899999999999999,0.3041237113402061,high,True,BaCuCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,337,4.229358196258545,True,4-6
KPO3,2KNO3-1,KNO3,p2_1/m11,15,P2_1/m,Rectangular (op),5.260665088156969,0.008267535100522139,Yes,N→P,0.775,3.04,2.19,0.8500000000000001,0.56,0.98,0.41999999999999993,0.7499999999999998,high,True,KPO3,p2_1/m11,p2_1/m11,False,False,new_composition,,,,,,,,344,6.1699066162109375,True,6-8
KAsO3,2KNO3-1,KNO3,p2_1/m11,15,P2_1/m,Rectangular (op),5.260665088156969,0.008267535100522139,Yes,N→As,0.725,3.04,2.18,0.8599999999999999,0.56,1.14,0.5799999999999998,1.0357142857142854,high,True,KAsO3,p2_1/m11,p2_1/m11,False,False,new_composition,,,,,,,,345,6.297967433929443,True,6-8
KSbO3,2KNO3-1,KNO3,p2_1/m11,15,P2_1/m,Rectangular (op),5.260665088156969,0.008267535100522139,Yes,N→Sb,0.76,3.04,2.05,0.9900000000000002,0.56,1.33,0.77,1.375,high,True,KSbO3,p2_1/m11,p2_1/m11,False,False,new_composition,,,,,,,,346,5.685910224914551,True,4-6
NaMnI3,2LiMnI3-1,LiMnI3,p-31m,71,P-31m,Hexagonal (hp),4.2103405037779496,0.05441236569238992,Yes,Li→Na,0.53,0.98,0.93,0.04999999999999993,1.67,1.9,0.22999999999999998,0.1377245508982036,low,False,NaMnI3,p-31m,p-31m,False,False,new_composition,,,,,,,,349,2.7714076042175293,False,2-4
CaPS3,2MgPS3-1,MgPS3,p-31m,71,P-31m,Hexagonal (hp),3.9217833893563694,0.0,Yes,Mg→Ca,0.615,1.31,1.0,0.31000000000000005,1.45,1.94,0.49,0.33793103448275863,high,True,CaPS3,p-31m,p-31m,False,False,new_composition,,,,,,,,351,3.857313632965088,True,2-4
MgS3N,2MgPS3-1,MgPS3,p-31m,71,P-31m,Hexagonal (hp),3.9217833893563694,0.0,Yes,P→N,0.725,2.19,3.04,0.8500000000000001,0.98,0.56,0.41999999999999993,0.4285714285714285,high,True,MgS3N,p-31m,p-31m,False,False,new_composition,,,,,,,,352,2.80655574798584,False,2-4
BeIBr,1BaBrI-1,BaIBr,p3m1,69,P3m1,Hexagonal (hp),5.177247334371238,0.041636506657886464,Yes,Ba→Be,0.705,0.89,1.57,0.68,2.53,1.12,1.4099999999999997,0.5573122529644268,high,True,BeIBr,p3m1,p3m1,False,False,new_composition,,,,,,,,356,5.914241313934326,True,4-6
HfPF,2FHfN-1,HfNF,pmmn,46,Pmmn,Rectangular (op),3.5497319843159034,0.0,Yes,N→P,0.62,3.04,2.19,0.8500000000000001,0.56,0.98,0.41999999999999993,0.7499999999999998,high,True,HfPF,pmmn,pmmn,False,False,new_composition,,,,,,,,365,2.548949718475342,False,2-4
CaHF,2CaHI-1,CaHI,p4/nmm,64,P4/nmm,Square (tp),4.708604721714976,0.0,Yes,I→F,0.91,2.66,3.98,1.3199999999999998,1.15,0.42,0.73,0.6347826086956522,high,True,CaHF,p4/nmm,p4/nmm,False,False,new_composition,,,,,,,,367,6.426338195800781,True,6-8
BeHI,2CaHI-1,CaHI,p4/nmm,64,P4/nmm,Square (tp),4.708604721714976,0.0,Yes,Ca→Be,0.51,1.0,1.57,0.5700000000000001,1.94,1.12,0.8199999999999998,0.42268041237113396,high,True,BeHI,p4/nmm,p4/nmm,False,False,new_composition,,,,,,,,370,4.738110065460205,True,4-6
MgHI,2CaHI-1,CaHI,p4/nmm,64,P4/nmm,Square (tp),4.708604721714976,0.0,Yes,Ca→Mg,0.81,1.0,1.31,0.31000000000000005,1.94,1.45,0.49,0.25257731958762886,medium,True,MgHI,p4/nmm,p4/nmm,False,False,new_composition,,,,,,,,371,4.27351713180542,True,4-6
BeBrF,2BrFSr-1,SrBrF,p4/nmm,64,P4/nmm,Square (tp),6.269510738711807,0.001903436617242941,Yes,Sr→Be,0.825,0.95,1.57,0.6200000000000001,2.19,1.12,1.0699999999999998,0.48858447488584467,high,True,BeBrF,p4/nmm,p4/nmm,False,False,new_composition,,,,,,,,385,6.4030985832214355,True,6-8
MgBrF,2BrFSr-1,SrBrF,p4/nmm,64,P4/nmm,Square (tp),6.269510738711807,0.001903436617242941,Yes,Sr→Mg,0.83,0.95,1.31,0.3600000000000001,2.19,1.45,0.74,0.3378995433789954,high,True,MgBrF,p4/nmm,p4/nmm,False,False,new_composition,,,,,,,,386,6.0891618728637695,True,6-8
RbHO,2HNaO-2,NaHO,p4/nmm,64,P4/nmm,Square (tp),5.180520156502341,0.00044363769261224206,Yes,Na→Rb,0.865,0.93,0.82,0.1100000000000001,1.9,2.65,0.75,0.39473684210526316,high,True,RbHO,p4/nmm,p4/nmm,False,False,new_composition,,,,,,,,394,4.199502468109131,True,4-6
CsHO,2HNaO-2,NaHO,p4/nmm,64,P4/nmm,Square (tp),5.180520156502341,0.00044363769261224206,Yes,Na→Cs,0.76,0.93,0.79,0.14,1.9,2.98,1.08,0.568421052631579,high,True,CsHO,p4/nmm,p4/nmm,False,False,new_composition,,,,,,,,395,3.086796283721924,False,2-4
BOF,2FGaO-1,GaOF,pmmn,46,Pmmn,Rectangular (op),4.755211768183427,0.0,Yes,Ga→B,0.505,1.81,2.04,0.22999999999999998,1.36,0.87,0.4900000000000001,0.3602941176470589,high,True,BOF,pmmn,pmmn,False,False,new_composition,,,,,,,,396,8.91257381439209,True,8-10
BClO,2ClGaO-1,GaClO,pmmn,46,Pmmn,Rectangular (op),4.957459341310971,0.0,Yes,Ga→B,0.515,1.81,2.04,0.22999999999999998,1.36,0.87,0.4900000000000001,0.3602941176470589,high,True,BClO,pmmn,pmmn,False,False,new_composition,,,,,,,,399,7.032580852508545,True,6-8
MgIF,2FISr-1,SrIF,p4/nmm,64,P4/nmm,Square (tp),5.170777689308794,0.0,Yes,Sr→Mg,0.785,0.95,1.31,0.3600000000000001,2.19,1.45,0.74,0.3378995433789954,high,True,MgIF,p4/nmm,p4/nmm,False,False,new_composition,,,,,,,,403,5.278224468231201,True,4-6
